Gene_acc,Gene_id,WT1,WT2,WT3,Minus1,Minus2,Minus3,Desc
0,Tb927.9.3600,25522.0,34344.0,35976.0,23884.0,21421.0,23139.0,"Glycosyl transferase family 11, putative"
1,Tb927.9.7980,8983.4,12135.0,10419.0,19400.0,20384.0,20400.0,"hypothetical protein, conserved"
2,Tb927.10.1870,33773.0,39225.0,34605.0,7768.4,7772.3,7654.9,"LSU ribosomal protein, mitochondrial, putative"
3,Tb927.11.8040,31860.0,35908.0,33726.0,10253.0,11011.0,9497.7,"LSU ribosomal protein, mitochondrial, putative"
4,Tb927.11.9790,216510.0,234580.0,217240.0,210710.0,208540.0,200870.0,"calmodulin, putative"
5,Tb927.11.870,261720.0,290010.0,254480.0,74892.0,76513.0,70570.0,mitochondrial ribosomal protein l23
6,Tb927.6.5130,314650.0,345390.0,309140.0,456470.0,462500.0,440700.0,"60S acidic ribosomal protein P2, putative"
7,Tb927.6.4080,76140.0,84285.0,80485.0,24295.0,25610.0,24064.0,"ribosomal protein, putative"
8,Tb927.10.11370,130350.0,154110.0,136630.0,44081.0,47155.0,42992.0,"hypothetical protein, conserved"
9,Tb927.5.1820,82258.0,97100.0,79658.0,99024.0,106470.0,95587.0,"60S acidic ribosomal protein, putative"
10,Tb927.10.11350,113390.0,125950.0,118060.0,36581.0,34558.0,38848.0,"LSU ribosomal protein, mitochondrial, putative"
11,Tb927.4.4720,20280.0,25563.0,23453.0,7617.8,6246.7,6410.6,kinetoplast ribosomal PPR-repeat containing protein 7
12,Tb927.1.1210,61786.0,76693.0,70818.0,21448.0,22819.0,22390.0,"conserved protein, unknown function"
13,Tb927.11.9860,664880.0,758220.0,706500.0,800040.0,844310.0,790840.0,"EF-hand domain pair, putative"
14,Tb927.4.3430,76313.0,87152.0,80208.0,95621.0,97898.0,85781.0,Mitochondrial import inner membrane translocase subunit TIM12
15,Tb927.8.550,34351.0,37953.0,35056.0,47967.0,50695.0,50747.0,"peptide methionine sulfoxide reductase, putative"
16,Tb927.7.4550,102860.0,113070.0,108330.0,39370.0,42705.0,38200.0,Mitochondrial ribosomal protein L7/L12
17,Tb927.3.2180,89285.0,103010.0,89889.0,17448.0,20485.0,20466.0,"Mitochondrial ATP synthase subunit, putative"
18,Tb927.6.4010,93767.0,102170.0,98407.0,118590.0,122060.0,114230.0,"Translation machinery associated TMA7, putative"
19,Tb927.6.3930,108800.0,128830.0,117710.0,50221.0,49174.0,42377.0,"LSU ribosomal protein, mitochondrial, putative"
20,Tb927.11.11630,59328.0,70118.0,65405.0,20739.0,21952.0,21197.0,"LSU ribosomal protein, mitochondrial, putative"
21,Tb927.7.6420,16449.0,16024.0,15601.0,21554.0,19985.0,18561.0,"hypothetical protein, conserved"
22,Tb927.9.1610,43448.0,57246.0,49166.0,50038.0,53553.0,49555.0,"CDP-diacylglycerol--inositol 3-phosphatidyltransferase, putative"
23,Tb927.11.17010,62986.0,66862.0,61854.0,93139.0,96865.0,89791.0,"Rab5-interacting protein (Rab5ip), putative"
24,Tb927.11.1330,72606.0,83513.0,78716.0,81622.0,80545.0,81228.0,"Stress responsive A/B Barrel Domain, putative"
25,Tb927.7.6770,200140.0,231010.0,197680.0,313020.0,339790.0,287890.0,"Acyl CoA binding protein, putative"
26,Tb927.3.820,32430.0,39902.0,37877.0,14391.0,14196.0,15160.0,"LSU ribosomal protein, mitochondrial, putative"
27,Tb927.11.10570,155940.0,182210.0,164390.0,56315.0,60194.0,51747.0,"LSU ribosomal protein, mitochondrial, putative"
28,Tb927.7.4140,157430.0,173930.0,159160.0,53534.0,57223.0,53377.0,mitochondrial ribosomal protein L21
29,Tb927.3.3660,37248.0,45745.0,39861.0,12837.0,13438.0,12164.0,"NADH-ubiquinone oxidoreductase complex I subunit, putative"
30,Tb927.8.6800,184770.0,192130.0,167060.0,70301.0,71843.0,66201.0,"hypothetical protein, conserved"
31,Tb927.9.7170,161970.0,182970.0,172780.0,65039.0,67464.0,64540.0,Mitochondrial ribosomal protein L47
32,Tb927.4.1070,50511.0,57425.0,51404.0,16487.0,20606.0,16627.0,Mitochondrial ribosomal protein L13
33,Tb927.10.3380,70248.0,76984.0,73180.0,64992.0,66976.0,63731.0,"60S acidic ribosomal protein P2, putative"
34,Tb927.4.4440,28654.0,31691.0,25155.0,37608.0,39188.0,36737.0,adenylyl cyclase
35,Tb927.6.1440,29730.0,32925.0,30002.0,9495.8,9686.1,10018.0,"LSU ribosomal protein, mitochondrial, putative"
36,Tb927.11.5660,47472.0,54203.0,50437.0,39046.0,39277.0,36526.0,"hypothetical protein, conserved"
37,Tb927.11.6000,216770.0,253800.0,230970.0,98232.0,104300.0,99330.0,mitochondrial ribosomal protein L4
38,Tb927.4.4320,48161.0,57124.0,52514.0,65626.0,68437.0,62924.0,"divalent cation tolerance protein, putative"
39,Tb927.7.2760,111690.0,126550.0,115930.0,46263.0,49677.0,50025.0,Mitochondrial ribosomal protein L22
40,Tb927.10.9025,49162.0,56996.0,54287.0,115100.0,124120.0,108940.0,hypothetical protein
41,Tb927.11.6510,271590.0,305250.0,272790.0,350990.0,365570.0,327880.0,"40S ribosomal protein S21, putative"
42,Tb927.7.840,117790.0,131470.0,119290.0,36173.0,35579.0,33658.0,"Mitochondrial ATP synthase subunit, putative"
43,Tb927.10.600,123450.0,148510.0,134260.0,57914.0,63069.0,58050.0,Mitochondrial ribosomal protein L29
44,Tb927.4.4300,83172.0,95606.0,88431.0,33416.0,34213.0,32370.0,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
45,Tb927.5.4120,170570.0,184750.0,182420.0,71008.0,74199.0,73294.0,"LSU ribosomal protein, mitochondrial, putative"
46,Tb927.8.3170,84395.0,96253.0,87557.0,36408.0,36273.0,32627.0,kinetoplast ribosomal PPR-repeat containing protein 9
47,Tb927.5.770,2482.4,3241.6,2322.6,866.5,1150.9,1319.2,Mitoribosomal SSU assembly factor 8
48,Tb927.11.10080,66248.0,79615.0,70439.0,28953.0,30679.0,30695.0,"LSU ribosomal protein, mitochondrial, putative"
49,Tb927.9.5690,330780.0,393220.0,345860.0,436200.0,452230.0,402410.0,"60S acidic ribosomal protein, putative"
50,Tb927.9.3640,49341.0,53275.0,55520.0,22326.0,22310.0,21383.0,"LSU ribosomal protein, mitochondrial, putative"
51,Tb927.5.3980,278590.0,314550.0,287550.0,116350.0,124720.0,120580.0,mitochondrial ribosomal protein L15
52,Tb927.8.5900,64406.0,75229.0,64215.0,82711.0,90712.0,81745.0,"Sedlin, N-terminal conserved region, putative"
53,Tb927.10.5500,67785.0,78600.0,74322.0,28710.0,31054.0,29441.0,"NADH-ubiquinone oxidoreductase complex I subunit, putative"
54,Tb927.7.7010,47871.0,50208.0,45739.0,18267.0,20844.0,21016.0,"LSU ribosomal protein, mitochondrial, putative"
55,Tb927.11.15480,698820.0,772590.0,712930.0,924690.0,948020.0,885080.0,"heat shock protein Hsp20, putative"
56,Tb927.5.3410,86372.0,112040.0,96653.0,43644.0,46289.0,41287.0,Mitochondrial ribosomal protein L9
57,Tb927.9.3290,59997.0,66529.0,59413.0,62493.0,66496.0,59490.0,"4F5 protein family, putative"
58,Tb927.3.1710,27765.0,33292.0,31854.0,14274.0,14737.0,13704.0,mitochondrial ribosomal protein l24
59,Tb927.6.4200,38886.0,46663.0,39703.0,20986.0,18658.0,20236.0,"LSU ribosomal protein, mitochondrial, putative"
60,Tb927.2.6220,31880.0,37153.0,35825.0,100860.0,104890.0,96225.0,"adenosine transporter 2, putative"
61,Tb927.8.5120,141320.0,157480.0,144100.0,202720.0,207140.0,192770.0,cytochrome c
62,Tb927.7.2380,107660.0,115460.0,117800.0,200970.0,207080.0,200750.0,"hypothetical protein, conserved"
63,Tb927.3.2880,218630.0,244470.0,221890.0,69752.0,73302.0,69733.0,"Mitochondrial ATP synthase subunit, putative"
64,Tb927.4.4600,139160.0,159940.0,142230.0,65740.0,67355.0,57045.0,mitochondrial ribosomal protein l43
65,Tb927.9.6710,88009.0,100950.0,91661.0,48333.0,49356.0,45499.0,"kynurenine 3-monooxygenase, putative"
66,Tb927.11.1630,85839.0,101550.0,94388.0,45854.0,48760.0,40897.0,"LSU ribosomal protein, mitochondrial, putative"
67,Tb927.2.5980,1120200.0,1253000.0,1128700.0,1634300.0,1701300.0,1564400.0,"chaperone protein ClpB1, putative"
68,Tb927.8.5860,87499.0,102570.0,94409.0,43056.0,44950.0,43100.0,mitochondrial ribosomal protein L17
69,Tb927.6.4040,93233.0,99293.0,91252.0,40604.0,42402.0,42774.0,mitochondrial ribosomal protein L28
70,Tb11.1810b.1-p1,124760.0,146410.0,125710.0,134100.0,142030.0,126110.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
71,Tb927.10.9390,21887.0,22927.0,21302.0,9780.6,11610.0,10729.0,"Macrocin-O-methyltransferase (TylF), putative"
72,Tb927.4.1810,77569.0,85554.0,80112.0,40056.0,40918.0,38621.0,mitochondrial ribosomal protein L33
73,Tb927.10.260,20078.0,22679.0,22494.0,26093.0,27547.0,26252.0,"BolA-like protein, putative"
74,Tb927.11.15820,68899.0,78083.0,69969.0,31970.0,34192.0,28566.0,"iron superoxide dismutase C, mitochondrial"
75,Tb927.7.3030,138230.0,179310.0,148800.0,66315.0,75483.0,64714.0,"hypothetical protein, conserved"
